NP,N,M,G,Time
1,200,200,100,0.343161
2,200,200,100,0.170723
3,200,200,100,0.115076
4,200,200,100,0.087100
5,200,200,100,0.091419
6,200,200,100,0.081532
7,200,200,100,0.082765
8,200,200,100,0.086947
9,200,200,100,0.093246
10,200,200,100,0.089242
11,200,200,100,0.127141
12,200,200,100,0.104023
13,200,200,100,0.111525
14,200,200,100,0.122971
15,200,200,100,0.132561
16,200,200,100,0.137078
