NP,N,M,G,Time
1,2000,1000,10,2.068107
2,4000,1000,10,2.115192
3,6000,1000,10,2.177120
4,8000,1000,10,2.200189
5,10000,1000,10,2.306707
6,12000,1000,10,2.399845
7,14000,1000,10,2.460286
8,16000,1000,10,2.553494
9,18000,1000,10,2.652746
10,20000,1000,10,2.722785
11,22000,1000,10,2.762658
12,24000,1000,10,2.868922
13,26000,1000,10,2.940091
14,28000,1000,10,3.097507
15,30000,1000,10,3.144601
16,32000,1000,10,3.213631
