NP,N,M,G,Time
1,100,100,10,0.010686
2,200,100,10,0.011050
3,300,100,10,0.011494
4,400,100,10,0.011699
5,500,100,10,0.022520
6,600,100,10,0.031330
7,700,100,10,0.041463
8,800,100,10,0.059236
9,900,100,10,0.051583
10,1000,100,10,0.061748
11,1100,100,10,0.081907
12,1200,100,10,0.073025
13,1300,100,10,0.091993
14,1400,100,10,0.091899
15,1500,100,10,0.094153
16,1600,100,10,0.107139
