NP,N,M,G,Time
1,2000,2000,100,34.046674
2,2000,2000,100,17.325989
3,2000,2000,100,11.505781
4,2000,2000,100,8.567881
5,2000,2000,100,6.962318
6,2000,2000,100,5.847284
7,2000,2000,100,5.056915
8,2000,2000,100,4.395949
9,2000,2000,100,3.901095
10,2000,2000,100,3.544736
11,2000,2000,100,3.248006
12,2000,2000,100,3.025929
13,2000,2000,100,2.824677
14,2000,2000,100,2.649326
15,2000,2000,100,2.533544
16,2000,2000,100,2.372256
