NP,N,M,G,Time
1,5000,5000,100,212.413692
2,5000,5000,100,106.364449
3,5000,5000,100,71.518923
4,5000,5000,100,53.983151
5,5000,5000,100,43.694171
6,5000,5000,100,36.996074
7,5000,5000,100,31.999846
8,5000,5000,100,27.486414
9,5000,5000,100,24.581285
10,5000,5000,100,22.207325
11,5000,5000,100,20.422531
12,5000,5000,100,18.637074
13,5000,5000,100,17.161625
14,5000,5000,100,16.562874
15,5000,5000,100,14.995371
16,5000,5000,100,14.396459
